qid,group,dataset,question,mcp_answer,ground_truth,ground_truth_source,verdict,tool_calls,latency_sec,notes
Q1,regression,CPI,"Headline inflation rural and urban India December 2025",,"rural 0.76% urban 2.03%","https://www.mospi.gov.in (CPI Dec 2025 press release)",,,,
Q2,regression,PLFS,"Unemployment rate Bihar latest available quarter",,"4.8% Jul-Sep 2025","PLFS Quarterly Bulletin Jul-Sep 2025",,,,
Q3,regression,WPI,"WPI manufacture of textiles Aug 2023 vs Aug 2024",,"134.1 and 135.9","PIB releases PRID 1957263 and 2055528",,,,
Q4,untested,UDISE,"Secondary dropout rate Tamil Nadu latest year",,,,,,,
Q5,untested,NFHS,"Infant mortality rate Tamil Nadu vs Bihar latest round",,,,,,,
Q6,untested,HCES,"Rural vs urban monthly per capita consumption expenditure latest",,,,,,,
Q7,untested,EC,"Number of establishments in Chennai district",,,,,,,
Q8,untested,TUS,"Average daily unpaid domestic work men vs women",,,,,,,
Q9,untested,MNRE,"Installed solar capacity Tamil Nadu latest month",,,,,,,
Q10,untested,AISHE,"Gross enrolment ratio higher education by state latest",,,,,,,
Q11,untested,GENDER,"Sex ratio at birth top five and bottom five states",,,,,,,
Q12,untested,NSS80,"Household internet usage rural Tamil Nadu",,,,,,,
Q13,stress,WPI,"Full monthly series all available years one indicator",,,,,,,
Q14,stress,CPI,"CPI series spanning base year change 2011-12 to 2023-24",,,,,,,
Q15,tn-angle,,"District-level Tamil Nadu question cross-checked against own work",,,,,,,
